2025-07-04 17:06:24,656 | INFO     | utilities.retrieval_utils | Question classified under topic 'geometry': 'What is the difference between a rotation and a re...' 
2025-07-04 17:06:25,788 | INFO     | utilities.retrieval_utils | Retrieving chunks for topic 'geometry' at level 'twelve' with query: 'What is the difference between a rotation and a re...'
2025-07-04 17:06:34,233 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'twelve' in topic 'geometry'.
2025-07-04 17:06:34,234 | INFO     | utilities.retrieval_utils | Retrieving prior-year chunks for topic 'geometry' up to (but not including) level 'twelve'.
2025-07-04 17:06:34,804 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'nine' in topic 'geometry'.
2025-07-04 17:06:35,631 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'ten' in topic 'geometry'.
2025-07-04 17:06:36,144 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'eleven' in topic 'geometry'.
2025-07-04 17:06:36,145 | INFO     | utilities.retrieval_utils | Retrieved a total of 9 chunks from prior years for topic 'geometry'.
2025-07-04 17:13:34,547 | INFO     | utilities.retrieval_utils | Question classified under topic 'geometry': 'What is the difference between a rotation and a re...' 
2025-07-04 17:13:35,326 | INFO     | utilities.retrieval_utils | Retrieving chunks for topic 'geometry' at level 'twelve' with query: 'What is the difference between a rotation and a re...'
2025-07-04 17:13:36,321 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'twelve' in topic 'geometry'.
2025-07-04 17:13:36,321 | INFO     | utilities.retrieval_utils | Retrieving prior-year chunks for topic 'geometry' up to (but not including) level 'twelve'.
2025-07-04 17:13:37,649 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'nine' in topic 'geometry'.
2025-07-04 17:13:37,946 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'ten' in topic 'geometry'.
2025-07-04 17:13:38,095 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'eleven' in topic 'geometry'.
2025-07-04 17:13:38,095 | INFO     | utilities.retrieval_utils | Retrieved a total of 9 chunks from prior years for topic 'geometry'.
2025-07-04 17:17:38,885 | INFO     | utilities.retrieval_utils | Question classified under topic 'geometry': 'What is the difference between a rotation and a re...' 
2025-07-04 17:17:39,258 | INFO     | utilities.retrieval_utils | Retrieving chunks for topic 'geometry' at level 'twelve' with query: 'What is the difference between a rotation and a re...'
2025-07-04 17:17:39,823 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'twelve' in topic 'geometry'.
2025-07-04 17:17:39,823 | INFO     | utilities.retrieval_utils | Retrieving prior-year chunks for topic 'geometry' up to (but not including) level 'twelve'.
2025-07-04 17:17:40,204 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'nine' in topic 'geometry'.
2025-07-04 17:17:40,357 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'ten' in topic 'geometry'.
2025-07-04 17:17:40,559 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'eleven' in topic 'geometry'.
2025-07-04 17:17:40,559 | INFO     | utilities.retrieval_utils | Retrieved a total of 9 chunks from prior years for topic 'geometry'.
2025-07-04 17:19:57,575 | INFO     | utilities.retrieval_utils | Question classified under topic 'geometry': 'What is the difference between a rotation and a re...' 
2025-07-04 17:19:57,956 | INFO     | utilities.retrieval_utils | Retrieving chunks for topic 'geometry' at level 'twelve' with query: 'What is the difference between a rotation and a re...'
2025-07-04 17:19:59,091 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'twelve' in topic 'geometry'.
2025-07-04 17:19:59,092 | INFO     | utilities.retrieval_utils | Retrieving prior-year chunks for topic 'geometry' up to (but not including) level 'twelve'.
2025-07-04 17:19:59,401 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'nine' in topic 'geometry'.
2025-07-04 17:19:59,894 | DEBUG    | utilities.retrieval_utils | Found 3 chunks for level 'ten' in topic 'geometry'.
