2025-07-04 17:06:24,754 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:06:25,787 | WARNING  | utilities.qa_utils | FAISS index file not found for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index
2025-07-04 17:06:25,787 | DEBUG    | utilities.qa_utils | Could not load historic Q&A resources for grade 12. Proceeding with normal generation.
2025-07-04 17:06:25,787 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:13:34,648 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:13:35,325 | WARNING  | utilities.qa_utils | FAISS index file not found for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index
2025-07-04 17:13:35,325 | DEBUG    | utilities.qa_utils | Could not load historic Q&A resources for grade 12. Proceeding with normal generation.
2025-07-04 17:13:35,326 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:13:56,727 | INFO     | utilities.qa_utils | Storing new Q&A pair for grade 12: 'What is the difference between a rotation and a re...'
2025-07-04 17:13:57,071 | INFO     | utilities.qa_utils | Using ans_high_con based on no_extra_explain=True
2025-07-04 17:13:57,078 | INFO     | utilities.qa_utils | Inserted Q&A pair with ID 1 into SQLite database for grade 12
2025-07-04 17:13:57,079 | WARNING  | utilities.qa_utils | FAISS index not found for grade 12, creating new one
2025-07-04 17:13:57,080 | INFO     | utilities.qa_utils | Created new FAISS index for grade 12 with dimension 1536
2025-07-04 17:13:57,081 | INFO     | utilities.qa_utils | Added vector to FAISS index for grade 12, new size: 1
2025-07-04 17:13:57,083 | INFO     | utilities.qa_utils | Saved updated FAISS index for grade 12
2025-07-04 17:17:38,977 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:17:39,257 | WARNING  | utilities.qa_utils | FAISS index file not found for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index
2025-07-04 17:17:39,257 | DEBUG    | utilities.qa_utils | Could not load historic Q&A resources for grade 12. Proceeding with normal generation.
2025-07-04 17:17:39,257 | INFO     | utilities.qa_utils | Did not find a similar question asked for grade 12
2025-07-04 17:19:57,667 | INFO     | utilities.qa_utils | Attempting to retrieve historic Q&A for grade 12 for question: 'What is the difference between a rotation and a re...'
2025-07-04 17:19:57,955 | WARNING  | utilities.qa_utils | FAISS index file not found for grade 12 at /Users/wangyichi/Documents/Projects/math_tutor/historic_qa_data/grade12.index
2025-07-04 17:19:57,956 | DEBUG    | utilities.qa_utils | Could not load historic Q&A resources for grade 12. Proceeding with normal generation.
